"BehaviorSpace results (NetLogo 6.0.2)"
"vultures_ver3.nlogo"
"experiment"
"09/02/2018 11:02:07:844 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","cohesion?","users?","alignment?","[step]","avg-t2e","avg-t2d","tar-count"
"290","true","false","true","10000","330.71826171875","138.587158203125","13"
"292","true","false","true","10000","220.21424865722656","684.6234970092773","18"
"291","true","false","true","10000","229.4056396484375","135.02703857421875","15"
"293","true","false","true","10000","130.3671875","1656.6953125","9"
"294","true","false","true","10000","194.74462890625","166.85888671875","13"
"295","true","false","true","10000","328.4456558227539","185.8085708618164","18"
"296","true","false","true","10000","386.9652099609375","470.5185546875","15"
"297","true","false","true","10000","220.37890625","1466.06640625","10"
"298","true","false","true","10000","153.2689208984375","85.98846435546875","15"
"300","true","false","true","10000","236.86599731445312","199.97953033447266","18"
"301","true","false","true","10000","126.54878997802734","619.251407623291","19"
"299","true","false","true","10000","363.390625","990.875","7"
"302","true","false","true","10000","158.33544921875","1043.695068359375","14"
"303","true","false","true","10000","278.124755859375","426.2696228027344","16"
"304","true","false","true","10000","240.46875","1009.3359375","8"
"305","true","false","true","10000","361.9150390625","369.3916015625","11"
"306","true","false","true","10000","235.75","3190.125","4"
"307","true","false","true","10000","163.7529296875","559.259521484375","14"
"308","true","false","true","10000","239.309326171875","452.3792724609375","14"
"309","true","false","true","10000","240.03125","1974.84375","6"
"310","true","false","true","10000","306.390625","1090.328125","7"
"312","true","false","true","10000","251.920654296875","1403.06787109375","13"
"311","true","false","true","10000","319.7109375","1125.390625","8"
"313","true","false","true","10000","324.75732421875","428.75927734375","13"
"314","true","false","true","10000","221.390625","801.8125","7"
"315","true","false","true","10000","397.751953125","685.306640625","10"
"316","true","false","true","10000","158.572265625","888.405517578125","13"
"317","true","false","true","10000","202.1108169555664","262.06531143188477","19"
"318","true","false","true","10000","110.08606719970703","193.8966827392578","18"
"319","true","false","true","10000","119.97775268554688","164.9077606201172","17"
"320","true","false","true","10000","140.61669921875","627.5185546875","12"
"321","true","false","true","10000","180.64389038085938","567.561279296875","16"
"322","true","false","true","10000","116.87033081054688","134.26824951171875","18"
"323","true","false","true","10000","132.2841796875","97.7833480834961","18"
"324","true","false","true","10000","144.8515625","333.55224609375","12"
"326","true","false","true","10000","222.790771484375","679.0001220703125","14"
"325","true","false","true","10000","212.625","819.0625","6"
"327","true","false","true","10000","126.50640869140625","919.9754943847656","16"
"328","true","false","true","10000","189.08333587646484","260.04322814941406","18"
"329","true","false","true","10000","177.7779541015625","1103.9052734375","17"
"330","true","false","true","10000","139.41490936279297","78.89599609375","18"
"331","true","false","true","10000","141.3753662109375","256.8767547607422","17"
"332","true","false","true","10000","232.4697265625","245.4140625","12"
"333","true","false","true","10000","361.0849609375","931.382080078125","14"
"334","true","false","true","10000","223.341796875","311.744140625","11"
"335","true","false","true","10000","120.2265625","983.4365234375","11"
"336","true","false","true","10000","259.20703125","413.37109375","10"
"337","true","false","true","10000","135.0018310546875","215.119384765625","14"
"339","true","false","true","10000","206.8427734375","815.912109375","12"
"338","true","false","true","10000","206.90234375","531.341796875","11"
"340","true","false","true","10000","315.94140625","505.0234375","10"
"341","true","false","true","10000","175.3214111328125","625.9480590820312","15"
"342","true","false","true","10000","243.9491729736328","443.56231689453125","17"
"343","true","false","true","10000","128.68115234375","232.770263671875","13"
"344","true","false","true","10000","148.35546875","959.490234375","10"
"345","true","false","true","10000","186.531494140625","161.380859375","13"
"346","true","false","true","10000","165.59820556640625","398.5355987548828","18"
"347","true","false","true","10000","211.052490234375","574.40087890625","13"
"348","true","false","true","10000","324.5916748046875","313.765625","15"
"349","true","false","true","10000","319.1328125","577.2890625","8"
